"","indicator","coef","setting","variable","estimate","color"
"68","HDD -1","c","(c) Lagged weather separated","Price Outlier",0.00107135064899921,"HDD"
"69","HDD -1","l","(c) Lagged weather separated","Main",-0.00225813221186399,"HDD"
"70","HDD -1","l","(c) Lagged weather separated","Price Outlier",-0.000746711972169578,"HDD"
"71","HDD -1","u","(c) Lagged weather separated","Main",0.000732623448129743,"HDD"
"72","HDD -1","u","(c) Lagged weather separated","Price Outlier",0.00288941315375268,"HDD"
"73","HDD -2","c","(c) Lagged weather separated","Main",-0.000125988328363746,"HDD"
"74","HDD -2","c","(c) Lagged weather separated","Price Outlier",-0.000965308281593025,"HDD"
"75","HDD -2","l","(c) Lagged weather separated","Main",-0.000789020908996463,"HDD"
"76","HDD -2","l","(c) Lagged weather separated","Price Outlier",-0.00169150088913739,"HDD"
"77","HDD -2","u","(c) Lagged weather separated","Main",0.00053704425226897,"HDD"
"78","HDD -2","u","(c) Lagged weather separated","Price Outlier",-0.000239115644944832,"HDD"
"79","HDD -3","c","(c) Lagged weather separated","Main",-0.000153477798448876,"HDD"
"80","HDD -3","c","(c) Lagged weather separated","Price Outlier",-0.00100717623718083,"HDD"
"81","HDD -3","l","(c) Lagged weather separated","Main",-0.000795319327153265,"HDD"
"82","HDD -3","l","(c) Lagged weather separated","Price Outlier",-0.00178005371708423,"HDD"
"83","HDD -3","u","(c) Lagged weather separated","Main",0.000488363730255514,"HDD"
"84","HDD -3","u","(c) Lagged weather separated","Price Outlier",-0.000234298669965938,"HDD"
