"","id","variable","est_","coef","range"
"91",16,"(a) Main",-0.000617533514741808,"c","28-30"
"92",16,"(b) Price Outlier",-0.000466978584881872,"c","28-30"
"93",16,"(a) Main",-0.00398522429168224,"l","28-30"
"94",16,"(b) Price Outlier",-0.0047564534470439,"l","28-30"
"95",16,"(a) Main",0.00275015714578331,"u","28-30"
"96",16,"(b) Price Outlier",0.00382249616086483,"u","28-30"
"97",17,"(a) Main",-0.00915470719337463,"c","30-32"
"98",17,"(b) Price Outlier",-0.0116594843566418,"c","30-32"
"99",17,"(a) Main",-0.0145321954041719,"l","30-32"
"100",17,"(b) Price Outlier",-0.019774217158556,"l","30-32"
"101",17,"(a) Main",-0.00377721921540797,"u","30-32"
"102",17,"(b) Price Outlier",-0.00354475062340498,"u","30-32"
"103",18,"(a) Main",-0.00796691700816154,"c","32-34"
"104",18,"(b) Price Outlier",-0.018419561907649,"c","32-34"
"105",18,"(a) Main",-0.015933571383357,"l","32-34"
"106",18,"(b) Price Outlier",-0.0286401342600584,"l","32-34"
"107",18,"(a) Main",-2.61661000422464e-07,"u","32-34"
"108",18,"(b) Price Outlier",-0.00819899048656225,"u","32-34"
"109",19,"(a) Main",-0.00968017335981131,"c",">34"
"110",19,"(b) Price Outlier",-0.0343625321984291,"c",">34"
"111",19,"(a) Main",-0.0229347106069326,"l",">34"
"112",19,"(b) Price Outlier",-0.0504009537398815,"l",">34"
"113",19,"(a) Main",0.00357436388731003,"u",">34"
"114",19,"(b) Price Outlier",-0.0183241087943316,"u",">34"
